127.0.0.1, 2022-12-14 23:48:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:48:20, GET, /examples/default/index, HTTP/1.1, 200, 0.008999
127.0.0.1, 2022-12-14 23:48:21, GET, /admin/default/site, HTTP/1.1, 200, 0.024933
127.0.0.1, 2022-12-14 23:48:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:48:21, GET, /pymedisenm/default/index, HTTP/1.1, 500, 0.021941
127.0.0.1, 2022-12-14 23:48:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:48:24, GET, /admin/default/site, HTTP/1.1, 200, 0.024962
127.0.0.1, 2022-12-14 23:48:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2022-12-14 23:48:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.017974
127.0.0.1, 2022-12-14 23:48:29, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-12-14 23:48:31, GET, /admin/default/site, HTTP/1.1, 200, 0.024957
127.0.0.1, 2022-12-14 23:48:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-12-14 23:48:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.014642
127.0.0.1, 2022-12-14 23:48:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.014952
127.0.0.1, 2022-12-14 23:48:34, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.099828
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.024934
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/keymap/sublime.js, HTTP/1.1, 200, 0.038895
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.029920
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/theme/twilight.css, HTTP/1.1, 200, 0.062832
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.008976
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.002992
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.077719
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.023937
